shipment_id,origin_city,destination_city,shipment_date,weight_kg,volume_m3,vendor,cost_inr,delivery_time_days,status
S001,Chennai,Bengaluru,2026-03-01,1500,4.5,ABC Logistics,10500,2,Delivered On-Time
S002,Chennai,Bengaluru,2026-03-02,1200,3.2,FastTrack,10800,2,Delivered On-Time
S003,Chennai,Bengaluru,2026-03-03,2000,5.0,Metro Freight,11000,3,Delayed
S004,Mumbai,Delhi,2026-03-01,1800,5.5,Skyline,12500,4,Delivered On-Time
S005,Mumbai,Delhi,2026-03-02,1900,5.8,FastTrack,12100,3,Delivered On-Time
S006,Pune,Ahmedabad,2026-03-01,800,2.1,ABC Logistics,9500,1,Delivered On-Time
S007,Pune,Ahmedabad,2026-03-02,850,2.3,Metro Freight,9800,2,Delayed
S008,Hyderabad,Chennai,2026-03-01,3000,8.0,BlueDart Logistics,15000,1,Delivered On-Time
S009,Hyderabad,Chennai,2026-03-02,3200,8.5,Skyline,15500,2,Delivered On-Time
S010,Chennai,Bengaluru,2026-03-05,1100,3.1,ABC Logistics,10600,2,Delivered On-Time
S011,Mumbai,Delhi,2026-03-05,2100,6.0,FastTrack,12200,4,Delayed
S012,Delhi,Jaipur,2026-03-01,1400,4.0,NorthStar,8000,1,Delivered On-Time
S013,Delhi,Jaipur,2026-03-02,1350,3.9,NorthStar,8200,1,Delivered On-Time
S014,Delhi,Jaipur,2026-03-03,1450,4.1,Skyline,8500,2,Delayed
